mf,correlation_std,correlation_mean
centroid_freq,0.0036282273011625965,0.9941127988022437
forecast_error,0.0037586926361013605,-0.9920863618548733
whiten_timescale,0.013785766516662499,-0.9132137337715376
acf_timescale,0.020156961438258833,0.7562048840320588
low_freq_power,0.024972306605976262,-0.889052544987982
stretch_high,0.03441650646853175,0.9329911247074651
transition_matrix,0.047058757618097455,0.6345685610088277
entropy_pairs,0.04744799365869306,-0.9360245769153377
ami_timescale,0.06071058407233189,0.8977703826471848
outlier_timing_pos,0.10874567162755244,0.8913393674856727
embedding_dist,0.15383756772250765,0.8680538030654216
acf_first_min,0.17965259857844282,0.7305784734407992
high_fluctuation,0.1923947718121257,-0.7830078233874377
stretch_decreasing,0.2955716569780928,0.6414213338795507
ami2,0.3160199018338654,0.5600619303186288
dfa,0.34691078542653137,-0.5152451002602785
mode_5,0.42193177351275357,-0.43799580279993966
rs_range,0.49883752756335803,0.12317704199654818
mode_10,0.5338519105483217,-0.209940800344806
trev,0.5360851578289747,0.7535089983305403
outlier_timing_neg,0.6042355570854532,-0.6634467204580924
periodicity,,0.04079440021917562
