mf,correlation_std,correlation_mean
centroid_freq,0.011719863557561033,0.9697240779669702
forecast_error,0.011760080628636805,-0.9656692172561494
low_freq_power,0.03516354069329042,-0.8587909613115047
ami_timescale,0.04036477820467833,0.8747456020525524
whiten_timescale,0.043141165414335284,-0.9038254072514507
stretch_high,0.04883496033326009,0.8937585566992474
acf_timescale,0.057755131585118594,0.6913670707272516
transition_matrix,0.06159684844708561,0.7019275291052877
entropy_pairs,0.0711702046264928,-0.9006822167183058
stretch_decreasing,0.12822674552538646,0.6975562215763177
embedding_dist,0.14791928475332838,0.8760971416327946
acf_first_min,0.1490969412918139,0.6417809754952464
trev,0.18196812784664565,0.8829149427804055
high_fluctuation,0.21579622196289247,-0.70643185204679
dfa,0.252985729590144,-0.5014901380775936
ami2,0.31995793000426753,0.4792627731241351
rs_range,0.3371544874784304,0.2539710925855994
mode_5,0.44323227960373984,-0.48212974729219427
mode_10,0.4458123160187979,-0.06459451310404538
outlier_timing_pos,0.5615239665139183,0.6659278013823908
outlier_timing_neg,0.7209027845424788,-0.4444518585870504
periodicity,,
